entity,indicator,date,value
Lithuania,Daily hospital occupancy,2020-10-06,156.0
Lithuania,Daily hospital occupancy,2020-10-13,149.0
Lithuania,Daily hospital occupancy,2020-10-14,141.0
Lithuania,Daily hospital occupancy,2020-10-15,174.0
Lithuania,Daily hospital occupancy,2020-10-16,199.0
Lithuania,Daily hospital occupancy,2020-10-19,229.0
Lithuania,Daily hospital occupancy,2020-10-20,232.0
Lithuania,Daily hospital occupancy,2020-10-21,245.0
Lithuania,Daily hospital occupancy,2020-10-22,239.0
Lithuania,Daily hospital occupancy,2020-10-23,255.0
Lithuania,Daily hospital occupancy,2020-10-26,322.0
Lithuania,Daily hospital occupancy,2020-10-27,342.0
Lithuania,Daily hospital occupancy,2020-10-28,348.0
Lithuania,Daily hospital occupancy,2020-10-29,370.0
Lithuania,Daily hospital occupancy,2020-10-30,415.0
Lithuania,Daily hospital occupancy,2020-11-12,1092.0
Lithuania,Daily hospital occupancy,2020-11-13,1205.0
Lithuania,Daily hospital occupancy,2020-11-23,1629.0
Lithuania,Daily hospital occupancy,2020-11-30,1887.0
Lithuania,Daily hospital occupancy,2020-12-01,1885.0
Lithuania,Daily hospital occupancy,2020-12-02,1949.0
Lithuania,Daily hospital occupancy,2020-12-03,1940.0
Lithuania,Daily hospital occupancy,2020-12-04,1981.0
Lithuania,Daily hospital occupancy,2020-12-05,2054.0
Lithuania,Daily hospital occupancy,2020-12-06,2133.0
Lithuania,Daily hospital occupancy,2020-12-14,2372.0
Lithuania,Daily hospital occupancy,2020-12-15,2307.0
Lithuania,Daily hospital occupancy,2020-12-16,2356.0
Lithuania,Daily hospital occupancy,2020-12-17,2468.0
Lithuania,Daily hospital occupancy,2020-12-18,2353.0
Lithuania,Daily hospital occupancy,2020-12-19,2432.0
Lithuania,Daily hospital occupancy,2020-12-20,2478.0
Lithuania,Daily hospital occupancy,2020-12-21,2451.0
Lithuania,Daily hospital occupancy,2020-12-22,2258.0
Lithuania,Daily hospital occupancy,2020-12-23,2284.0
Lithuania,Daily hospital occupancy,2020-12-24,2312.0
Lithuania,Daily hospital occupancy,2020-12-25,2300.0
Lithuania,Daily hospital occupancy,2020-12-26,2448.0
Lithuania,Daily hospital occupancy,2020-12-27,2510.0
Lithuania,Daily hospital occupancy,2020-12-28,2506.0
Lithuania,Daily hospital occupancy,2020-12-30,2429.0
Lithuania,Daily hospital occupancy,2020-12-31,2480.0
Lithuania,Daily hospital occupancy,2021-01-01,2406.0
Lithuania,Daily hospital occupancy,2021-01-02,2494.0
Lithuania,Daily hospital occupancy,2021-01-03,2571.0
Lithuania,Daily hospital occupancy,2021-01-04,2568.0
Lithuania,Daily hospital occupancy,2021-01-05,2412.0
Lithuania,Daily hospital occupancy,2021-01-06,2413.0
Lithuania,Daily hospital occupancy,2021-01-07,2390.0
Lithuania,Daily hospital occupancy,2021-01-08,2235.0
Lithuania,Daily hospital occupancy,2021-01-09,2211.0
Lithuania,Daily hospital occupancy,2021-01-10,2212.0
Lithuania,Daily hospital occupancy,2021-01-11,2155.0
Lithuania,Daily hospital occupancy,2021-01-12,2096.0
Lithuania,Daily hospital occupancy,2021-01-13,2038.0
Lithuania,Daily hospital occupancy,2021-01-14,2008.0
Lithuania,Daily hospital occupancy,2021-01-15,1850.0
Lithuania,Daily hospital occupancy,2021-01-16,1859.0
Lithuania,Daily hospital occupancy,2021-01-17,1910.0
Lithuania,Daily hospital occupancy,2021-01-21,1528.0
Lithuania,Daily hospital occupancy,2021-01-22,1432.0
Lithuania,Daily hospital occupancy,2021-01-25,1407.0
Lithuania,Daily hospital occupancy,2021-01-26,1457.0
Lithuania,Daily hospital occupancy,2021-01-28,1409.0
Lithuania,Daily hospital occupancy,2021-01-29,1307.0
Lithuania,Daily hospital occupancy,2021-01-30,1323.0
Lithuania,Daily hospital occupancy,2021-01-31,1346.0
Lithuania,Daily hospital occupancy,2021-02-01,1299.0
Lithuania,Daily hospital occupancy,2021-02-03,1171.0
Lithuania,Daily hospital occupancy,2021-02-05,1107.0
Lithuania,Daily hospital occupancy,2021-02-07,1157.0
Lithuania,Daily hospital occupancy,2021-02-08,1098.0
Lithuania,Daily hospital occupancy,2021-02-17,902.0
Lithuania,Daily hospital occupancy,2021-02-18,842.0
Lithuania,Daily hospital occupancy,2021-02-19,824.0
Lithuania,Daily hospital occupancy,2021-02-20,844.0
Lithuania,Daily hospital occupancy,2021-02-21,897.0
Lithuania,Daily hospital occupancy,2021-02-22,904.0
Lithuania,Daily hospital occupancy,2021-02-23,893.0
Lithuania,Daily hospital occupancy,2021-02-24,896.0
Lithuania,Daily hospital occupancy,2021-02-25,866.0
Lithuania,Daily hospital occupancy,2021-02-26,827.0
Lithuania,Daily hospital occupancy,2021-02-27,872.0
Lithuania,Daily hospital occupancy,2021-02-28,888.0
Lithuania,Daily hospital occupancy,2021-03-01,858.0
Lithuania,Daily hospital occupancy,2021-03-02,837.0
Lithuania,Daily hospital occupancy,2021-03-03,827.0
Lithuania,Daily hospital occupancy,2021-03-04,811.0
Lithuania,Daily hospital occupancy,2021-03-07,823.0
Lithuania,Daily hospital occupancy,2021-03-08,789.0
Lithuania,Daily hospital occupancy,2021-03-09,762.0
Lithuania,Daily hospital occupancy,2021-03-10,749.0
Lithuania,Daily hospital occupancy,2021-03-11,767.0
Lithuania,Daily hospital occupancy,2021-03-12,717.0
Lithuania,Daily hospital occupancy,2021-03-13,748.0
Lithuania,Daily hospital occupancy,2021-03-14,778.0
Lithuania,Daily hospital occupancy,2021-03-15,763.0
Lithuania,Daily hospital occupancy,2021-03-16,773.0
Lithuania,Daily hospital occupancy,2021-03-17,762.0
Lithuania,Daily hospital occupancy,2021-03-18,730.0
Lithuania,Daily hospital occupancy,2021-03-19,705.0
Lithuania,Daily hospital occupancy,2021-03-20,728.0
Lithuania,Daily hospital occupancy,2021-03-21,762.0
Lithuania,Daily hospital occupancy,2021-03-22,727.0
Lithuania,Daily hospital occupancy,2021-03-23,704.0
Lithuania,Daily hospital occupancy,2021-03-24,702.0
Lithuania,Daily hospital occupancy,2021-03-25,728.0
Lithuania,Daily hospital occupancy,2021-03-26,707.0
Lithuania,Daily hospital occupancy,2021-03-28,763.0
Lithuania,Daily hospital occupancy,2021-03-29,731.0
Lithuania,Daily hospital occupancy,2021-03-30,730.0
Lithuania,Daily hospital occupancy,2021-03-31,715.0
Lithuania,Daily hospital occupancy,2021-04-01,726.0
Lithuania,Daily hospital occupancy,2021-04-02,704.0
Lithuania,Daily hospital occupancy,2021-04-03,756.0
Lithuania,Daily hospital occupancy,2021-04-04,801.0
Lithuania,Daily hospital occupancy,2021-04-05,854.0
Lithuania,Daily hospital occupancy,2021-04-06,839.0
Lithuania,Daily hospital occupancy,2021-04-07,850.0
Lithuania,Daily hospital occupancy,2021-04-08,867.0
Lithuania,Daily hospital occupancy,2021-04-09,848.0
