date,indicator,value,entity
2020-03-31,Daily hospital occupancy,426,Australia
2020-04-01,Daily hospital occupancy,441,Australia
2020-04-02,Daily hospital occupancy,415,Australia
2020-04-03,Daily hospital occupancy,457,Australia
2020-04-04,Daily hospital occupancy,490,Australia
2020-04-05,Daily hospital occupancy,457,Australia
2020-04-06,Daily hospital occupancy,305,Australia
2020-04-07,Daily hospital occupancy,263,Australia
2020-04-08,Daily hospital occupancy,262,Australia
2020-04-09,Daily hospital occupancy,247,Australia
2020-04-10,Daily hospital occupancy,240,Australia
2020-04-11,Daily hospital occupancy,239,Australia
2020-04-12,Daily hospital occupancy,227,Australia
2020-04-13,Daily hospital occupancy,230,Australia
2020-04-14,Daily hospital occupancy,214,Australia
2020-04-15,Daily hospital occupancy,201,Australia
2020-04-16,Daily hospital occupancy,192,Australia
2020-04-17,Daily hospital occupancy,184,Australia
2020-04-18,Daily hospital occupancy,177,Australia
2020-04-19,Daily hospital occupancy,170,Australia
2020-04-20,Daily hospital occupancy,167,Australia
2020-04-21,Daily hospital occupancy,161,Australia
2020-04-22,Daily hospital occupancy,152,Australia
2020-04-23,Daily hospital occupancy,138,Australia
2020-04-24,Daily hospital occupancy,129,Australia
2020-04-25,Daily hospital occupancy,115,Australia
2020-04-26,Daily hospital occupancy,113,Australia
2020-04-27,Daily hospital occupancy,109,Australia
2020-04-28,Daily hospital occupancy,93,Australia
2020-04-29,Daily hospital occupancy,89,Australia
2020-04-30,Daily hospital occupancy,83,Australia
2020-05-01,Daily hospital occupancy,79,Australia
2020-05-02,Daily hospital occupancy,75,Australia
2020-05-03,Daily hospital occupancy,70,Australia
2020-05-04,Daily hospital occupancy,66,Australia
2020-05-05,Daily hospital occupancy,62,Australia
2020-05-06,Daily hospital occupancy,58,Australia
2020-05-07,Daily hospital occupancy,56,Australia
2020-05-08,Daily hospital occupancy,51,Australia
2020-05-09,Daily hospital occupancy,43,Australia
2020-05-10,Daily hospital occupancy,49,Australia
2020-05-11,Daily hospital occupancy,47,Australia
2020-05-12,Daily hospital occupancy,50,Australia
2020-05-13,Daily hospital occupancy,51,Australia
2020-05-14,Daily hospital occupancy,46,Australia
2020-05-15,Daily hospital occupancy,49,Australia
2020-05-16,Daily hospital occupancy,50,Australia
2020-05-17,Daily hospital occupancy,45,Australia
2020-05-18,Daily hospital occupancy,47,Australia
2020-05-19,Daily hospital occupancy,43,Australia
2020-05-20,Daily hospital occupancy,41,Australia
2020-05-21,Daily hospital occupancy,39,Australia
2020-05-22,Daily hospital occupancy,35,Australia
2020-05-23,Daily hospital occupancy,33,Australia
2020-05-24,Daily hospital occupancy,31,Australia
2020-05-25,Daily hospital occupancy,30,Australia
2020-05-26,Daily hospital occupancy,30,Australia
2020-05-27,Daily hospital occupancy,29,Australia
2020-05-28,Daily hospital occupancy,23,Australia
2020-05-29,Daily hospital occupancy,22,Australia
2020-05-30,Daily hospital occupancy,20,Australia
2020-05-31,Daily hospital occupancy,20,Australia
2020-06-01,Daily hospital occupancy,26,Australia
2020-06-02,Daily hospital occupancy,25,Australia
2020-06-03,Daily hospital occupancy,22,Australia
2020-06-04,Daily hospital occupancy,21,Australia
2020-06-05,Daily hospital occupancy,21,Australia
2020-06-06,Daily hospital occupancy,18,Australia
2020-06-07,Daily hospital occupancy,19,Australia
2020-06-08,Daily hospital occupancy,18,Australia
2020-06-09,Daily hospital occupancy,20,Australia
2020-06-10,Daily hospital occupancy,18,Australia
2020-06-11,Daily hospital occupancy,17,Australia
2020-06-12,Daily hospital occupancy,16,Australia
2020-06-13,Daily hospital occupancy,16,Australia
2020-06-14,Daily hospital occupancy,17,Australia
2020-06-15,Daily hospital occupancy,17,Australia
2020-06-16,Daily hospital occupancy,16,Australia
2020-06-17,Daily hospital occupancy,14,Australia
2020-06-18,Daily hospital occupancy,15,Australia
2020-06-19,Daily hospital occupancy,17,Australia
2020-06-20,Daily hospital occupancy,16,Australia
2020-06-21,Daily hospital occupancy,18,Australia
2020-06-22,Daily hospital occupancy,19,Australia
2020-06-23,Daily hospital occupancy,16,Australia
2020-06-24,Daily hospital occupancy,16,Australia
2020-06-25,Daily hospital occupancy,12,Australia
2020-06-26,Daily hospital occupancy,12,Australia
2020-06-27,Daily hospital occupancy,11,Australia
2020-06-28,Daily hospital occupancy,15,Australia
2020-06-29,Daily hospital occupancy,14,Australia
2020-06-30,Daily hospital occupancy,18,Australia
